time,open,high,low,close,volume
2023-02-24 05:00:00,91.7,92.64,91.49,91.89,84506
2023-02-23 20:00:00,93.79,94.05,93.49,93.97,49695
2023-02-23 19:00:00,94.0,94.05,93.61,93.81,64395
2023-02-23 18:00:00,94.0,94.16,92.96,94.05,96749
2023-02-23 17:00:00,94.38,94.39,93.9,93.95,288645
2023-02-23 16:00:00,93.68,94.52,93.59,94.2,3803912
2023-02-23 15:00:00,93.34,93.8699,92.87,93.67,2528392
2023-02-23 14:00:00,93.4684,93.71,92.74,93.32,2619920
2023-02-23 13:00:00,92.57,93.6403,92.13,93.4508,4262037
2023-02-23 12:00:00,94.7,94.825,92.49,92.55,7177534
2023-02-23 11:00:00,98.205,98.73,94.51,94.69,7964727
2023-02-23 10:00:00,99.3,100.61,96.33,98.215,8366013
2023-02-23 09:00:00,100.75,101.75,97.17,99.3,1101837
2023-02-23 08:00:00,100.0,101.75,100.0,100.43,1122554
2023-02-23 07:00:00,97.64,100.59,97.5,100.0,521710
2023-02-23 06:00:00,96.9,97.9,96.9,97.65,64281
2023-02-23 05:00:00,96.8,97.2,96.19,96.94,87639
2023-02-22 20:00:00,94.85,95.8,94.85,95.8,61159
2023-02-22 19:00:00,95.2999,95.2999,94.78,94.81,64831
2023-02-22 18:00:00,95.0,95.5,95.0,95.26,57872
2023-02-22 17:00:00,94.85,95.23,94.3145,95.19,1608994
2023-02-22 16:00:00,94.09,94.95,93.97,94.8,3977626
2023-02-22 15:00:00,93.995,94.51,93.86,94.085,2819840
2023-02-22 14:00:00,93.915,94.13,93.81,93.995,1724690
2023-02-22 13:00:00,94.07,94.16,93.78,93.912,2360586
2023-02-22 12:00:00,93.92,94.75,93.8764,94.075,3163550
2023-02-22 11:00:00,94.46,94.63,93.5546,93.9189,3923378
2023-02-22 10:00:00,96.13,96.15,94.43,94.459,3793401
2023-02-22 09:00:00,96.411,96.82,96.03,96.15,83005
2023-02-22 08:00:00,96.51,97.0,96.12,96.16,160128
2023-02-22 07:00:00,96.75,96.94,96.3,96.3,42894
2023-02-22 06:00:00,96.74,96.8,96.36,96.71,28945
2023-02-22 05:00:00,94.75,97.9,94.5,96.74,127455
2023-02-21 20:00:00,95.19,95.3,95.14,95.18,16113
2023-02-21 19:00:00,95.23,95.33,95.1,95.19,555146
2023-02-21 18:00:00,95.3,95.9468,95.1,95.16,756557
2023-02-21 17:00:00,95.0,95.9468,95.0,95.35,1170488
2023-02-21 16:00:00,95.175,95.46,94.86,95.07,3610050
2023-02-21 15:00:00,94.91,95.19,94.7,95.18,1951280
2023-02-21 14:00:00,95.61,95.68,94.77,94.9,2537246
2023-02-21 13:00:00,95.585,95.65,94.9,95.62,3940221
2023-02-21 12:00:00,96.225,96.33,95.56,95.585,2819721
2023-02-21 11:00:00,96.4431,97.35,96.16,96.21,3934217
2023-02-21 10:00:00,96.62,97.625,95.6,96.45,4933319
2023-02-21 09:00:00,96.65,97.11,96.57,96.64,158039
2023-02-21 08:00:00,97.01,97.16,96.55,96.68,107881
2023-02-21 07:00:00,96.91,97.17,96.6,96.96,58766
2023-02-21 06:00:00,97.23,97.23,96.88,96.96,17956
2023-02-21 05:00:00,97.3,98.35,96.93,97.23,110928
2023-02-17 20:00:00,99.95,99.97,99.63,99.95,20502
2023-02-17 19:00:00,99.99,100.03,99.95,99.95,11095
2023-02-17 18:00:00,99.95,100.03,99.95,100.0,4184
2023-02-17 17:00:00,100.14,100.15,99.89,99.95,1549092
2023-02-17 16:00:00,100.01,100.16,99.59,100.01,3127971
2023-02-17 15:00:00,99.5,100.03,99.39,100.0,1317195
2023-02-17 14:00:00,99.52,99.75,99.25,99.495,1477050
2023-02-17 13:00:00,99.782,99.94,99.475,99.5156,1436094
2023-02-17 12:00:00,100.13,100.26,99.56,99.78,1990836
2023-02-17 11:00:00,100.402,100.66,100.09,100.135,2387823
2023-02-17 10:00:00,101.0,101.16,99.85,100.42,4190286
2023-02-17 09:00:00,101.25,101.29,100.8,101.0,81531
2023-02-17 08:00:00,101.16,101.31,101.11,101.2,31233
2023-02-17 07:00:00,101.2,101.27,101.05,101.17,18450
2023-02-17 06:00:00,101.15,101.2,101.1,101.2,4587
2023-02-17 05:00:00,101.64,101.64,101.05,101.3,34189
2023-02-16 20:00:00,102.32,102.5,102.0,102.38,20926
2023-02-16 19:00:00,102.95,102.95,102.15,102.15,23154
2023-02-16 18:00:00,102.83,102.96,102.72,102.95,12182
2023-02-16 17:00:00,103.11,103.5405,102.73,102.9,1962450
2023-02-16 16:00:00,104.16,104.23,103.03,103.14,3335267
2023-02-16 15:00:00,104.0401,104.325,104.03,104.16,1119642
2023-02-16 14:00:00,103.5,104.12,103.42,104.0441,1186397
2023-02-16 13:00:00,103.53,103.99,103.42,103.48,1322547
2023-02-16 12:00:00,103.83,103.98,103.45,103.53,2123754
2023-02-16 11:00:00,103.13,104.52,102.87,103.825,4444404
2023-02-16 10:00:00,102.95,103.85,102.03,103.14,5429029
2023-02-16 09:00:00,103.9003,105.55,102.7,103.0,193600
2023-02-16 08:00:00,103.96,104.08,103.8,103.81,46660
2023-02-16 07:00:00,103.81,104.0,103.81,103.98,13454
2023-02-16 06:00:00,103.8,103.82,103.51,103.82,18325
2023-02-16 05:00:00,103.7,104.09,103.52,103.8,18728
2023-02-15 20:00:00,103.11,103.5,103.11,103.5,27598
2023-02-15 19:00:00,103.0,103.25,103.0,103.13,11763
2023-02-15 18:00:00,103.21,103.21,102.97,103.0,15081
2023-02-15 17:00:00,103.02,103.3,102.7118,103.26,1468957
2023-02-15 16:00:00,102.78,103.13,102.67,103.11,2328122
2023-02-15 15:00:00,102.975,103.3,102.76,102.7799,3329138
2023-02-15 14:00:00,102.64,103.03,102.48,102.97,980475
2023-02-15 13:00:00,102.765,102.84,102.37,102.64,1314084
2023-02-15 12:00:00,102.45,103.23,102.435,102.76,1711517
2023-02-15 11:00:00,102.67,103.44,102.0,102.46,3370347
2023-02-15 10:00:00,102.6,103.22,102.0,102.6657,3340649
2023-02-15 09:00:00,103.08,103.94,102.6,102.6,71370
2023-02-15 08:00:00,103.21,103.34,103.06,103.12,33594
2023-02-15 07:00:00,103.04,103.23,102.83,103.21,14812
2023-02-15 06:00:00,103.05,103.05,102.99,102.99,1309
2023-02-15 05:00:00,102.75,103.19,102.7,103.02,11622
2023-02-14 20:00:00,104.09,104.26,103.8,103.9,11908
2023-02-14 19:00:00,104.05,104.18,104.04,104.04,6478
2023-02-14 18:00:00,104.1,104.13,103.9195,103.9195,5580
2023-02-14 17:00:00,104.22,104.33,103.3711,104.14,1034351
2023-02-14 16:00:00,103.45,104.48,103.42,104.27,1956340
