,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-03-02,103.8,104.58,102.77,103.19,103.19,7981406,0.0000,1.0
2017-03-01,103.68,104.99,103.21,104.04,104.04,10331843,0.0000,1.0
2017-02-28,103.89,103.99,102.03,102.9,102.9,8012678,0.0000,1.0
2017-02-27,102.5,103.825,102.22,103.6,103.6,6865600,0.0000,1.0
2017-02-24,101.39,103.0,101.3,102.95,102.95,7356392,0.0000,1.0
2017-02-23,104.72,104.86,101.82,102.46,102.46,10095637,0.0000,1.0
2017-02-22,102.48,105.2,102.42,104.2,104.2,15779442,0.0000,1.0
2017-02-21,101.03,102.54,100.91,102.12,102.12,8186401,0.0000,1.0
2017-02-17,100.69,101.73,100.3,100.52,100.52,8256414,0.0000,1.0
2017-02-16,101.86,102.1,100.5,100.82,100.82,7464034,0.0000,1.0
2017-02-15,102.06,102.13,100.11,101.55,101.55,12384440,0.0000,1.0
2017-02-14,103.14,103.6,100.896,101.59,101.59,10238790,0.0000,1.0
2017-02-13,102.82,104.44,102.62,103.1,103.1,9728978,0.0000,1.0
2017-02-10,103.88,103.94,102.31,102.36,102.36,7680312,0.0000,1.0
2017-02-09,103.57,104.18,102.56,103.34,103.34,8435817,0.0000,1.0
2017-02-08,101.55,103.99,101.16,103.57,103.57,10176415,0.0000,1.0
2017-02-07,101.04,101.6,100.5,100.83,100.83,5655088,0.0000,1.0
2017-02-06,100.17,101.706,100.02,100.9,100.9,6865574,0.0000,1.0
2017-02-03,101.5,101.56,100.3,100.39,100.39,6196302,0.0000,1.0
2017-02-02,101.28,101.47,100.56,100.84,100.84,5371631,0.0000,1.0
2017-02-01,102.07,102.38,100.87,101.57,101.57,5735378,0.0000,1.0
2017-01-31,100.24,102.09,100.06,101.31,101.31,7523648,0.0000,1.0
2017-01-30,101.2,101.46,100.09,101.02,101.02,8618627,0.0000,1.0
2017-01-27,102.25,102.7,101.29,102.07,102.07,8029439,0.0000,1.0
2017-01-26,103.92,104.57,102.17,102.75,102.75,12502173,0.0000,1.0
2017-01-25,102.46,104.27,101.9,104.06,104.06,23322771,0.0000,1.0
2017-01-24,103.15,103.19,99.94,101.43,101.43,37181541,0.0000,1.0
2017-01-23,96.48,98.67,96.26,98.41,98.41,14062666,0.0000,1.0
2017-01-20,96.45,97.15,95.6707,96.06,96.06,9660832,0.0000,1.0
2017-01-19,96.42,96.7,95.58,96.17,96.17,7089962,0.0000,1.0
2017-01-18,96.27,96.27,95.26,96.0,96.0,6606973,0.0000,1.0
2017-01-17,96.32,96.59,95.0,96.12,96.12,6342427,0.0000,1.0
2017-01-13,95.95,97.38,95.76,96.27,96.27,10697389,0.0000,1.0
2017-01-12,96.85,96.85,94.8,95.9,95.9,8421152,0.0000,1.0
2017-01-11,96.92,97.45,95.6,96.94,96.94,8735888,0.0000,1.0
2017-01-10,96.4,97.904,95.55,96.75,96.75,14780567,0.0000,1.0
2017-01-09,94.16,95.65,93.31,94.72,94.72,10823397,0.0000,1.0
2017-01-06,94.4,94.5,93.0,93.89,93.89,7639786,0.0000,1.0
2017-01-05,91.91,94.81,91.64,94.37,94.37,16816202,0.0000,1.0
2017-01-04,88.985,90.89,88.58,90.51,90.51,11489724,0.0000,1.0
2017-01-03,89.0,89.0,88.08,88.6,88.6,8789386,0.0000,1.0
2016-12-30,87.57,88.1,87.2,87.81,87.81,7210098,0.0000,1.0
2016-12-29,87.82,88.2,87.16,87.33,87.33,5467104,0.0000,1.0
2016-12-28,88.3,88.75,87.22,87.37,87.37,6419859,0.0000,1.0
2016-12-27,86.72,87.94,86.71,87.54,87.54,5227540,0.0000,1.0
2016-12-23,86.62,87.68,86.62,86.79,86.79,6359213,0.0000,1.0
2016-12-22,87.89,88.26,86.01,86.8,86.8,14401989,0.0000,1.0
2016-12-21,89.96,90.43,89.25,89.25,89.25,9034310,0.0000,1.0
2016-12-20,89.19,90.31,88.94,89.84,89.84,8434744,0.0000,1.0
2016-12-19,88.61,89.82,88.41,88.93,88.93,10220670,0.0000,1.0
2016-12-16,89.0,90.1,88.56,88.67,88.67,11337185,0.0000,1.0
2016-12-15,90.0,90.6,88.74,88.85,88.85,19215542,0.0000,1.0
2016-12-14,91.83,92.26,90.83,91.19,91.19,9152530,0.0000,1.0
2016-12-13,92.8,93.73,91.87,92.16,92.16,10491316,0.0000,1.0
2016-12-12,92.05,92.89,91.7,92.47,92.47,9354941,0.0000,1.0
2016-12-09,92.51,93.64,92.28,93.28,93.28,9177566,0.0000,1.0
2016-12-08,91.8,93.08,91.03,92.31,92.31,10909772,0.0000,1.0
2016-12-07,90.52,91.65,89.5,91.07,91.07,13240009,0.0000,1.0
2016-12-06,91.56,91.93,89.96,90.4,90.4,7787821,0.0000,1.0
2016-12-05,90.05,91.4,89.57,90.99,90.99,8902646,0.0000,1.0
2016-12-02,90.38,91.74,89.95,90.48,90.48,11712027,0.0000,1.0
2016-12-01,94.0,94.055,89.18,89.86,89.86,24025605,0.0000,1.0
2016-11-30,95.28,95.48,93.3,94.02,94.02,11447142,0.0000,1.0
2016-11-29,93.67,96.055,93.39,94.99,94.99,14139159,0.0000,1.0
2016-11-28,93.02,95.7411,93.0,93.76,93.76,14340055,0.0000,1.0
2016-11-25,93.55,93.75,92.77,93.01,93.01,4868511,0.0000,1.0
2016-11-23,92.53,93.4,91.45,93.03,93.03,11741762,0.0000,1.0
2016-11-22,94.24,94.42,93.16,93.21,93.21,10403438,0.0000,1.0
2016-11-21,94.05,94.66,93.0,93.41,93.41,8960045,0.0000,1.0
2016-11-18,94.85,95.3,92.67,93.39,93.39,10032576,0.0000,1.0
2016-11-17,94.71,94.98,93.64,94.07,94.07,10379374,0.0000,1.0
2016-11-16,91.39,93.68,91.33,92.86,92.86,14077735,0.0000,1.0
2016-11-15,91.0,93.49,90.75,91.0,91.0,16722956,0.0000,1.0
2016-11-14,92.451,92.54,87.88,89.77,89.77,27356192,0.0000,1.0
2016-11-11,93.86,94.09,91.1,92.99,92.99,23725758,0.0000,1.0
2016-11-10,98.34,98.5,92.22,94.34,94.34,27339852,0.0000,1.0
2016-11-09,97.38,98.58,95.8,96.67,96.67,20948039,0.0000,1.0
2016-11-08,99.39,99.99,98.36,99.85,99.85,8080720,0.0000,1.0
2016-11-07,100.07,100.62,99.16,99.35,99.35,11198343,0.0000,1.0
2016-11-04,96.9,98.79,96.67,97.57,97.57,9045555,0.0000,1.0
2016-11-03,98.04,99.3,96.46,97.75,97.75,17402021,0.0000,1.0
2016-11-02,103.85,104.1,97.3,98.51,98.51,37042937,0.0000,1.0
2016-11-01,100.43,101.24,99.21,101.15,101.15,21261230,0.0000,1.0
2016-10-31,102.65,103.21,101.42,101.69,101.69,15835730,0.0000,1.0
2016-10-28,102.35,103.05,101.55,101.93,101.93,8476894,0.0000,1.0
2016-10-27,103.38,104.11,101.85,102.38,102.38,8807090,0.0000,1.0
2016-10-26,103.68,104.0,102.7,102.78,102.78,7578456,0.0000,1.0
2016-10-25,104.86,105.2002,104.02,104.22,104.22,8984063,0.0000,1.0
2016-10-24,104.98,105.3,103.55,104.5,104.5,10895359,0.0000,1.0
2016-10-21,103.7,103.94,102.75,103.94,103.94,8069308,0.0000,1.0
2016-10-20,104.2,104.74,103.57,103.85,103.85,7102157,0.0000,1.0
2016-10-19,104.33,104.8,103.65,103.93,103.93,8918931,0.0000,1.0
2016-10-18,104.47,104.99,103.31,103.34,103.34,11107198,0.0000,1.0
2016-10-17,101.5,103.47,101.27,102.84,102.84,10351713,0.0000,1.0
2016-10-14,104.27,104.7,101.03,101.85,101.85,12784615,0.0000,1.0
2016-10-13,102.06,102.55,99.0,102.15,102.15,22389979,0.0000,1.0
2016-10-12,105.05,105.11,101.82,103.62,103.62,18434083,0.0000,1.0
2016-10-11,107.89,107.97,104.75,105.23,105.23,14903228,0.0000,1.0
2016-10-10,106.79,109.0,106.56,108.41,108.41,11516628,0.0000,1.0
2016-10-07,106.89,107.55,105.56,106.0,106.0,8949469,0.0000,1.0
2016-10-06,107.3,107.51,106.185,107.08,107.08,9883058,0.0000,1.0
2016-10-05,105.87,107.45,105.66,106.96,106.96,13176546,0.0000,1.0
2016-10-04,105.93,106.23,105.05,105.45,105.45,11068841,0.0000,1.0
2016-10-03,105.45,106.29,104.98,105.38,105.38,10845444,0.0000,1.0
2016-09-30,106.5,107.1,105.79,105.79,105.79,15571612,0.0000,1.0
2016-09-29,106.51,106.69,104.57,105.55,105.55,30230843,0.0000,1.0
2016-09-28,108.44,109.87,107.16,108.75,108.75,16335548,0.0000,1.0
2016-09-27,106.52,108.49,106.37,108.26,108.26,17556710,0.0000,1.0
2016-09-26,106.52,107.06,105.3,105.89,105.89,16799468,0.0000,1.0
2016-09-23,108.25,108.4,106.71,107.71,107.71,23082626,0.0000,1.0
2016-09-22,107.57,109.76,107.48,109.36,109.36,35623618,0.0000,1.0
2016-09-21,102.46,106.19,102.21,106.0,106.0,22997062,0.0000,1.0
